google,youtube,youtubeComments
0,0,0
100,100,100
84,95,40
94,97,31
80,84,25
84,92,28
79,85,20
76,74,57
75,74,23
67,75,17
65,73,14
61,71,14
61,67,12
53,63,11
51,60,11
53,54,10
48,49,8
44,47,7
40,44,7
38,41,7
35,38,5
34,34,6
32,32,6
28,29,5
27,28,5
26,25,5
24,24,4
23,23,4
24,24,5
23,23,5
22,21,6
19,20,5
18,19,5
18,18,6
17,17,7
18,18,12
16,16,7
16,16,6
16,15,5
14,14,4
14,13,5
13,13,5
13,12,5
15,14,5
13,12,4
12,11,4
13,12,3
12,11,4
11,10,4
11,10,4
11,11,5
11,10,4
10,10,4
