google,youtube,youtubeComments
0,0,0
88,77,100
100,98,90
87,98,77
79,100,70
70,92,67
67,82,62
67,79,63
61,72,58
56,66,55
54,63,45
49,58,32
46,52,34
44,49,44
41,45,39
38,42,32
36,39,30
35,35,28
32,32,25
29,30,27
28,29,27
26,27,25
24,27,24
24,26,31
22,25,26
21,23,28
19,22,29
19,23,48
20,23,33
18,20,28
16,19,28
16,18,25
16,18,26
15,17,24
14,16,29
13,16,23
14,16,27
13,15,26
14,15,21
15,15,26
13,15,24
13,14,24
13,14,23
12,14,21
12,13,23
11,13,27
12,13,24
11,13,14
11,13,0
11,11,0
0,0,0
0,0,0
0,0,0
